Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Frailty,2002,75,78812,Bill Paxton," Set in present day Texas, ""Frailty"" centers on the FBI's search for a serial killer who calls himself ""God's Hands.""...","Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary",No consensus yet.
Dog Soldiers,2002,79,78823,Neil Marshall," During a routine nighttime training mission in the Scottish Highlands, a small squad of British soldiers expected to rendezvous with...","Sean Pertwee, Kevin McKidd, Emma Cleasby, Liam Cunningham",No consensus yet.
Basket Case,1982,76,77609,Frank Henenlotter, Duane (Kevin Van Hentenryck) checks into a sleazy hotel with a wicker basket containing his telepathic Siamese twin....,"Kevin Van Hentenryck, Terri Susan Smith, Beverly Bonner",No consensus yet.
Eden Lake,2008,80,80339,James Watkins," During a romantic weekend getaway, a young couple confronts a gang of youths, and suffers brutal consequences....","Finn Atkins, Michael Fassbender, James Gandhi, Thomas Gill","A brutal and effective British hoodie-horror that, despite the clichÃ©s, stays on the right side of scary."
Candyman,1992,77,83111,Bernard Rose, Skeptical graduate student Helen Lyle (Virginia Madsen) befriends Anne-Marie McCoy (Vanessa Williams) while researching superstitions in a housing project on...,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons",No consensus yet.
Oculus,2013,74,80295,Mike Flanagan," Haunted by the violent demise of their parents 10 years earlier, adult siblings Kaylie (Karen Gillan) and Tim (Brenton Thwaites)...","Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane","With an emphasis on dread over gore and an ending that leaves the door wide open for sequels,"
Land of the Dead,2005,74,80540,George Romero," In a world where zombies form the majority of the population, the remaining humans build a feudal society away from...","Simon Baker, John Alberto Leguizamo, Asia Argento, Robert Joy","George A. Romero's latest entry in his much-vaunted Dead series is not as fresh as his genre-inventing original, Night of the Living Dead. But Land of the Dead does deliver on the gore and zombies-feasting-on-flesh action."
Night of the Comet,1984,79,80673,Thom Eberhardt," After a rare comet sighting, teen sisters Regina (Catherine Mary Stewart) and Samantha (Kelli Maroney) find that they're among the...","Catherine Mary Stewart, Kelli Maroney, Robert Beltran, Geoffrey Lewis",Valley Girl culture satire
Wes Craven's New Nightmare,1994,79,81113,Wes Craven," Reality and fantasy meet in unsettling ways in this installment of the long-running horror series, which finds director Wes Craven...","Robert Englund, Heather Langenkamp, Miko Hughes, David Newsom",
Trick 'r Treat,2007,84,83487,Michael Dougherty," Interwoven stories demonstrate that some traditions are best not forgotten as the residents (Anna Paquin, Brian Cox, Dylan Baker) of...","Anna Paquin, Brian Cox, Dylan Baker, Leslie Bibb","A deftly crafted tribute to Halloween legends,"
The Lost Boys,1987,76,81468,Joel Schumacher, Teenage brothers Michael (Jason Patric) and Sam (Corey Haim) move with their mother (Dianne Wiest) to a small town in...,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes",No consensus yet.
The Lodge,2019,74,84879,Veronika Franz," During a family retreat to a remote winter cabin over the holidays, the father is forced to abruptly depart for...","Riley Keough, Jaeden Lieberher, Lia McHugh, Richard Armitage",No consensus yet.
Scream,1996,79,83536,Wes Craven, The sleepy little town of Woodsboro just woke up screaming. There's a killer in their midst who's seen a few...,"Neve Campbell, David Arquette, Courteney Cox, Matthew Lillard","Horror icon Wes Craven's subversive deconstruction of the genre is sly, witty, and surprisingly effective as a slasher film itself, even if it's a little too cheeky for some."
Southbound,2015,81,83477,Roxanne Benjamin," Interlocking tales of highway terror revolve around malevolent spirits at a truck stop, a mysterious traveler, a car accident and...","Chad Villella, Matt Bettinelli-Olpin, Kristina Pesic, Fabianne Therese",No consensus yet.
Lights Out,2016,76,85809,David F. Sandberg," When Rebecca (Teresa Palmer) left home, she thought that her childhood fears were behind her. As a young girl growing...","Teresa Palmer, Gabriel Bateman, Alexander DiPersia, Billy Burke",No consensus yet.
The Platform,2019,79,83911,Galder Gaztelu-Urrutia," In the future, prisoners housed in vertical cells watch as inmates in the upper cells are fed while those below...","Emilio Buale, Zorion Eguileor, Alexandra Masangkay, Ivan MassaguÃ©",No consensus yet.
The Brood,1979,83,84875,David Cronenberg, A mad doctor (Oliver Reed) tries psychoplasmic therapy on a raging woman (Samantha Eggar) soon to be a mother....,"Oliver Reed, Samantha Eggar, Art Hindle, Henry Beckman",
The Cat o' Nine Tails,1971,82,82602,Dario Argento, A newsman (James Franciscus) works with a blind puzzle-solver (Karl Malden) to catch a killer with mixed-up chromosomes....,"Karl Malden, James Franciscus, Catherine Spaak, Cinzia De Carolis",No consensus yet.
Mute Witness,1995,83,82767,Anthony Waller," Billy (Mary Sudina) is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working...","Mary Sudina, Fay Ripley, Evan Richards, Oleg Yankovsky",No consensus yet.
You're Next,2011,79,84134,Adam Wingard," The Davisons, an upper-class family, are extremely wealthy -- but also estranged. In an attempt to mend their broken family...","Sharni Vinson, Nicholas Tucci, Wendy Glenn, A.J. Bowen",
Videodrome,1983,78,82341,David Cronenberg," As the president of a trashy TV channel, Max Renn (James Woods) is desperate for new programming to attract viewers....","James Woods, Deborah Harry, Sonja Smits, Peter Dvorsky",No consensus yet.
Thirst,2009,80,84252,Park Chan-wook," Sang-hyun (Song Kang-ho), a respected priest, volunteers for an experimental procedure that may lead to a cure for a deadly...","Song Kang-ho, Kim Ok-bin, Shin Ha-kyun, Kim Hae-sook",No consensus yet.
Audition,1999,82,85017,Takashi Miike," This disturbing Japanese thriller follows Aoyama (Ryo Ishibashi), a widower who decides to start dating again. Aided by a film-producer...","Ryo Ishibashi, Eihi Shiina, Tetsu Sawaki, Jun Kunimura",No consensus yet.
Three...Extremes (Saam gaang yi),2005,84,84580,Takashi Miike, ...,"Miriam Yeung, Pauline Lau, Zabit Memedov, Miki Yeung","This anthology contains brutal, powerful horror stories by three of Asia's top directors."
Dead Ringers,1988,83,85768,David Cronenberg," Elliot (Jeremy Irons), a successful gynecologist, works at the same practice as his identical twin, Beverly (also Irons). Elliot is...","Jeremy Irons, GeneviÃ¨ve Bujold, Heidi von Palleske, Barbara Gordon",No consensus yet.
Scream 2,1997,81,85971,Wes Craven," Sydney (Neve Campbell) and tabloid reporter Gale Weathers (Courteney Cox) survived the events of the first ""Scream,"" but their nightmare...","David Arquette, Neve Campbell, Courteney Cox, Sarah Michelle Gellar",No consensus yet.
1408,2007,79,86391,Mikael Hafstrom, Mike Enslin (John Cusack) is a successful author who enjoys worldwide acclaim debunking supernatural phenomena -- before he checks into...,"John Cusack, Samuel L. Jackson, Mary McCormack, Jasmine Jessica Anthony",No consensus yet.
A Tale of Two Sisters,2003,85,86348,Kim Jee-woon," After being institutionalized in a mental hospital, Korean teen Su-mi (Yum Jung-ah) reunites with her beloved sister, Su-yeon (Im Soo-jung),...","Yum Jung-ah, Kim Kap-soo, Moon Geun-young, Im Soo-jung","Restrained but disturbing,"
Ouija: Origin of Evil,2016,82,89197,Mike Flanagan," In 1967 Los Angeles, widowed mother Alice Zander (Elizabeth Reaser) unwittingly invites authentic evil into her home by adding a...","Elizabeth Reaser, Annalise Basso, Lulu Wilson, Henry Thomas",
Pontypool,2008,84,86984,Bruce McDonald," When disc jockey Grant Mazzy (Stephen McHattie) reports to his basement radio station in the Canadian town of Pontypool, he...","Stephen McHattie, Lisa Houle, Georgina Reilly, Hrant Alianak","Witty and restrained but still taut and funny, this"
The Shallows,2016,78,91369,Jaume Collet-Serra," Still reeling from the loss of her mother, medical student Nancy Adams (Blake Lively) travels to a secluded beach for...","Blake Lively, Ãscar Jaenada, Brett Cullen, Sedona Legge",No consensus yet.
Shadow of the Vampire,2000,82,86108,E. Elias Merhige," F. W. Murnau (John Malkovich) is struggling to create his silent classic ""Nosferatu"" on location in Eastern Europe. The director...","John Malkovich, Willem Dafoe, Cary Elwes, John Aden Gillett",No consensus yet.
The House of the Devil,2009,85,88299,Ti West," Desperate to make some money so she can move into a new apartment, college student Samantha Hughes (Jocelin Donahue) takes...","Jocelin Donahue, Tom Noonan, Mary Woronov, Greta Gerwig","Though its underlying themes are familiar,"
Tucker & Dale vs Evil,2010,85,88884,Eli Craig," Two scruffy pals' (Tyler Labine, Alan Tudyk) backwoods vacation takes a bloody turn when ignorant college students mistake them for...","Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss","Like the best horror/comedies,"
Dracula: Pages From a Virgin's Diary,2002,87,88436,Guy Maddin," In this ballet version of Bram Stoker's classic vampire tale, Dracula (Zhang Wei-Qiang) arrives in London and performs a dance...","Zhang Wei-Qiang, David Moroni, Tara Birtwhistle, Stephane Leonard",No consensus yet.
The Others,2001,83,89412,Alejandro AmenÃ¡bar," Grace (Nicole Kidman), the devoutly religious mother of Anne (Alakina Mann) and Nicholas (James Bentley), moves her family to the...","Nicole Kidman, Christopher Eccleston, Alakina Mann, James Bentley",No consensus yet.
Creature From the Black Lagoon,1954,79,83037,Jack Arnold," Remnants of a mysterious animal have come to light in a remote jungle, and a group of scientists intends to...","Richard Carlson, Julia Adams, Richard Denning, Antonio Moreno",No consensus yet.
Tremors,1990,86,88769,Ron Underwood, Repairmen Val McKee (Kevin Bacon) and Earl Bassett (Fred Ward) are tired of their dull lives in the small desert...,"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross",No consensus yet.
Creep,2014,90,89287,Patrick Brice, Aaron answers an online ad and drives to a stranger's house to film him for the day. The man wants...,"Mark Duplass, Patrick Brice",No consensus yet.
Carnival of Souls,1962,86,86647,Herk Harvey, Mary Henry (Candace Hilligoss) ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put...,"Candace Hilligoss, Frances Feist, Sidney Berger, Stan Levitt",No consensus yet.
Rec,2007,89,89821,Jaume BalaguerÃ³, A reporter (Manuela Velasco) and her cameraman record the horrifying outbreak of a disease that turns humans into vicious cannibals....,"Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano, Carlos Lasarte",No consensus yet.
Paranormal Activity,2007,83,91372,Oren Peli," Soon after moving into a suburban tract home, Katie (Katie Featherston) and Micah (Micah Sloat) become increasingly disturbed by what...","Katie Featherston, Micah Sloat, Amber Armstrong, Mark Fredrichs",No consensus yet.
The Conjuring 2,2016,80,94721,James Wan," In 1977, paranormal investigators Ed (Patrick Wilson) and Lorraine Warren come out of a self-imposed sabbatical to travel to Enfield,...","Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor",
Ginger Snaps,2000,90,90563,John Fawcett," The story of two outcast sisters, Ginger (Katharine Isabelle) and Brigitte (Emily Perkins), in the mindless suburban town of Bailey...","Emily Perkins, Katharine Isabelle, Kris Lemche, Mimi Rogers",No consensus yet.
Goodnight Mommy,2014,85,90645,Veronika Franz," Twin boys who do everything together, from collecting beetles to feeding stray cats, welcome their mother home after her reconstructive...","Susanne Wuest, Elias Schwarz, Lukas Schwarz, Hans Escher",No consensus yet.
Julia's Eyes,2010,90,90708,Guillem Morales," The closer she gets to solving her sister's death, a woman (BelÃ©n Rueda) with a degenerative eye disease becomes increasingly...","BelÃ©n Rueda, LluÃ­s Homar, Pablo Derqui, Francesc Orella","Smart, suspenseful, and visually distinctive,"
Sisters,1973,87,89159,Brian De Palma," Inquisitive journalist Grace Collier (Jennifer Salt) is horrified when she witnesses her neighbor, fashion model Danielle Breton (Margot Kidder), violently...","Margot Kidder, Jennifer Salt, Charles Durning, William Finley",No consensus yet.
Cargo,2017,88,91820,Ben Howling," Stranded in rural Australia in the aftermath of a violent pandemic, an infected father desperately searches for a new home...","Martin Freeman, Anthony Hayes, Susie Porter, Simone Landers",No consensus yet.
Slither,2006,87,91671,James Gunn, Wheelsy is a small town where not much happens and everyone minds his own business. No one notices when evil...,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Gregg Henry",No consensus yet.
House on Haunted Hill,1959,89,90009,William Castle," Rich oddball Frederick Loren (Vincent Price) has a proposal for five guests at a possibly haunted mansion: Show up, survive...","Vincent Price, Carol Ohmart, Richard Long, Alan Marshal","Campy by modern standards but spooky and atmospheric,"
Poltergeist,1982,86,90695,Tobe Hooper," Strange and creepy happenings beset an average California family, the Freelings -- Steve (Craig T. Nelson), Diane (JoBeth Williams), teenaged...","Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne","Smartly filmed, tightly scripted, and -- most importantly -- consistently frightening,"
The Girl With All the Gifts,2016,85,93912,Colm McCarthy," In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a...","Gemma Arterton, Glenn Close, Paddy Considine, Anamaria Marinca",No consensus yet.
The Thing,1982,86,92645,John Carpenter," In remote Antarctica, a group of American research scientists are disturbed at their base camp by a helicopter shooting at...","Kurt Russell, A. Wilford Brimley, T.K. Carter, Richard Dysart","Grimmer and more terrifying than the 1950s take, John Carpenter's The Thing is a tense sci-fi thriller rife with compelling tension and some remarkable make-up effects."
Dead Alive,1992,88,91681,Peter Jackson," Overprotective mother Vera Cosgrove (Elizabeth Moody), spying on her grown son, Lionel (Timothy Balme), as he visits the zoo with...","Timothy Balme, Diana PeÃ±alver, Elizabeth Moody, Ian Watkin","The delightfully gonzo tale of a lovestruck teen and his zombified mother, Dead Alive is extremely gory and exceedingly good fun, thanks to Peter Jackson's affection for the tastelessly sublime."
Freaks,2018,88,92442,Adam Stein," Kept locked inside the house by her father, 7-year-old Chloe lives in fear and fascination of the outside world. It's...","Emile Hirsch, Bruce Dern, Lexy Kolker, Amanda Crew","Stocked with solid performances,"
The Tenant,1976,88,89623,Roman Polanski," In Paris, isolated Eastern European Ã©migrÃ© Trelkovsky (Roman Polanski) rents an apartment in a spooky old building whose inhabitants regard...","Roman Polanski, Isabelle Adjani, Melvyn Douglas, Shelley Winters",No consensus yet.
The Descent,2005,86,92073,Neil Marshall," A year after a severe emotional trauma, Sarah (Shauna Macdonald) goes to North Carolina to spend some time exploring caves...","Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder",Deft direction and strong performances from its all-female cast guide
Better Watch Out,2016,89,93032,Chris Peckover, Ashley travels to the suburban home of the Lerners to baby-sit their 12-year-old son Luke at Christmastime. She must soon...,"Levi Miller, Olivia DeJonge, Ed Oxenbould, Dacre Montgomery",No consensus yet.
An American Werewolf in London,1981,88,91624,John Landis," David (David Naughton) and Jack (Griffin Dunne), two American college students, are backpacking through Britain when a large wolf attacks...","David Naughton, Jenny Agutter, Griffin Dunne, John Woodvine",No consensus yet.
Doctor Sleep,2019,78,97445,Mike Flanagan," Struggling with alcoholism, Dan Torrance remains traumatized by the sinister events that occurred at the Overlook Hotel when he was...","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis",
The Omen,1976,86,92224,Richard Donner," American diplomat Robert (Gregory Peck) adopts Damien (Harvey Stephens) when his wife, Katherine (Lee Remick), delivers a stillborn child. After...","Gregory Peck, Lee Remick, David Warner, Billie Whitelaw",
Creepy,2016,90,93026,Kiyoshi Kurosawa, A retired detective is asked to investigate an old missing family case....,"Hidetoshi Nishijima, Yuko Takeuchi, Masahiro Higashide, Teruyuki Kagawa",
Come to Daddy,2019,86,91750,Ant Timpson," A privileged man-child arrives at the beautiful and remote coastal cabin of his estranged father, whom he hasn't seen in...","Elijah Wood, Stephen McHattie, Martin Donovan, Michael Smiley","Bloody horror with barbed wit,"
Crawl,2019,83,95297,Alexandre Aja," When a massive hurricane hits her Florida town, young Haley ignores the evacuation orders to search for her missing father,...","Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson",No consensus yet.
The Exorcist,1973,83,91193,William Friedkin," One of the most profitable horror movies ever made, this tale of an exorcism is based loosely on actual events....","Ellen Burstyn, Linda Blair, Max von Sydow, Lee J. Cobb",No consensus yet.
The Invitation,2015,89,94147,Karyn Kusama," While attending a dinner party at his former house, a man (Logan Marshall-Green) starts to believe that his ex-wife (Tammy...","Logan Marshall-Green, Tammy Blanchard, Michiel Huisman, Emayatzy Corinealdi",
Hounds of Love,2016,88,94743,Ben Young," In 1987, murderous couple John and Evelyn roam the streets of Perth, Australia, searching for their latest victim. Fate leads...","Emma Booth, Ashleigh Cummings, Stephen Curry, Susie Porter","Smartly constructed and powerfully acted,"
1922,2017,91,92406,Zak Hilditch, A rancher conspires to murder his wife for financial gain and convinces his teenage son to participate....,"Thomas Jane, Neal McDonough, Molly Parker, Brian d'Arcy James",No consensus yet.
The Abominable Dr. Phibes,1971,88,90850,Robert Fuest," In a desperate attempt to reach his ill wife, organist Anton Phibes (Vincent Price) is horrifically disfigured in a car...","Vincent Price, Joseph Cotten, Terry-Thomas, Hugh Griffith",No consensus yet.
Martin,1978,90,92362,George A. Romero," Young Martin (John Amplas) is entirely convinced that he is an 84-year-old blood-sucking vampire. Without fangs or mystical powers, Martin...","John Amplas, Lincoln Maazel, Christine Forrest, Elyane Nadeau",No consensus yet.
House,1977,91,92670,Nobuhiko Ãbayashi," In an effort to avoid spending time with her father and his creepy new lover, young Gorgeous (Kimiko Ikegami) resolves...","Kimiko Ikegami, Ai Matsubara, Miki Jinbo, Eriko Tanaka",
Henry: Portrait of a Serial Killer,1986,87,88944,John McNaughton, Henry (Michael Rooker) is released from prison following his mother's murder. He supplements his job as an exterminator with a...,"Michael Rooker, Tracy Arnold, Tom Towles, Anne Bartoletti",No consensus yet.
Rare Exports: A Christmas Tale,2010,90,92525,Jalmari Helander, A young boy named Pietari (Onni Tommila) and his friend Juuso (Ilmari JÃ¤rvenpÃ¤Ã¤) think a secret mountain drilling project near...,"Onni Tommila, Jorma Tommila, Ilmari JÃ¤rvenpÃ¤Ã¤, Peeter Jakobi",
Candyman,2021,84,102965,Nia DaCosta," For as long as residents can remember, the housing projects of Chicago's Cabrini-Green neighborhood were terrorized by a word-of-mouth ghost...","Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett, Colman Domingo",
The Orphanage,2007,87,94511,J.A. Bayona, Laura (BelÃ©n Rueda) has happy memories of her childhood in an orphanage. She convinces her husband to buy the place...,"BelÃ©n Rueda, Fernando Cayo, Geraldine Chaplin, Montserrat Carulla","Deeply unnerving and surprisingly poignant,"
The Dead Zone,1983,90,93058,David Cronenberg," When Johnny Smith (Christopher Walken) awakens from a coma caused by a car accident, he finds that years have passed,...","Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom",
Bone Tomahawk,2015,91,93352,S. Craig Zahler," In the Old West, a sheriff (Kurt Russell), his deputy (Richard Jenkins), a gunslinger (Matthew Fox),and a cowboy (Patrick Wilson)...","Kurt Russell, Patrick Wilson, Richard Jenkins, Matthew Fox",
Duel,1971,88,94059,Steven Spielberg," David Mann (Dennis Weaver), a mild mannered electronics salesman, is driving cross-country on a two-lane highway when he encounters an...","Dennis Weaver, Tim Herbert, Charles Seel, Eddie Firestone",
House of Usher,1960,86,89896,Roger Corman," Based on the classic story ""The Fall of the House of Usher"" by Edgar Allan Poe and directed by legendary...","Vincent Price, Myrna Fahey, Mark Damon, Harry Ellerbe",No consensus yet.
The Blair Witch Project,1999,86,92423,Daniel Myrick," Found video footage tells the tale of three film students (Heather Donahue, Joshua Leonard, Michael C. Williams) who've traveled to...","Heather Donahue, Michael C. Williams, Joshua Leonard, Bob Griffith",No consensus yet.
The Devil's Candy,2015,92,95027,Sean Byrne, A struggling painter is possessed by satanic forces after he and his family move into their dream home....,"Ethan Embry, Shiri Appleby, Pruitt Taylor Vince, Kiara Glasco",No consensus yet.
Gerald's Game,2017,91,96121,Mike Flanagan," A woman accidentally kills her husband during a kinky game. Handcuffed to her bed with no hope of rescue, she...","Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken",No consensus yet.
28 Days Later,2002,87,94205,Danny Boyle," A group of misguided animal rights activists free a caged chimp infected with the ""Rage"" virus from a medical research...","Cillian Murphy, Noah Huntley, Naomie Harris, Brendan Gleeson",No consensus yet.
Prevenge,2016,91,95737,Alice Lowe, A pregnant woman kills an assortment of people....,"Kate Dickie, Gemma Whelan, Alice Lowe, Kayvan Novak","As ambitious as it is daringly transgressive,"
Demon,2015,92,94787,Marcin Wrona, Peter (Itay Tiran) receives a piece of land as a gift for his upcoming wedding. While preparing the property to...,"Itay Tiran, Tomasz Schuchardt, Andrzej Grabowski, Adam Woronowicz","Ambitious and beautifully shot,"
Horror of Dracula,1958,90,94424,Terence Fisher," On a search for his missing friend Jonathan Harker (John Van Eyssen), vampire hunter Dr. Van Helsing (Peter Cushing) is...","Peter Cushing, Christopher Lee, Michael Gough, Melissa Stribling","Trading gore for grandeur,"
Fright Night,1985,92,94750,Tom Holland," Teenage Charley Brewster (William Ragsdale) is a horror-film junkie, so it's no surprise that, when a reclusive new neighbor named...","Chris Sarandon, William Ragsdale, Roddy McDowall, Amanda Bearse",No consensus yet.
The Wicker Man,1973,88,93220,Robin Hardy, Sergeant Howie (Edward Woodward) arrives on the small Scottish island of Summerisle to investigate the report of a missing child....,"Edward Woodward, Christopher Lee, Britt Ekland, Diane Cilento","This intelligent horror film is subtle in its thrills and chills, with an ending that is both shocking and truly memorable."
Nina Forever,2015,94,95361,Ben Blaine," After his girlfriend Nina dies, Rob falls in love with Holly. The new relationship faces a huge challenge when Nina...","Fiona O'Shaughnessy, Abigail Hardingham, Cian Barry, David Troughton",
