Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Deep Red,1975,96,97699,Dario Argento," A psychic medium (Macha M̩ril) is brutally murdered, and musician Marcus Daly (David Hemmings) feels a need to solve the...","David Hemmings, Daria Nicolodi, Gabriele Lavia, Clara Calamai","The kinetic camerawork and brutal over-the-top gore that made Dario Argento famous is on full display, but the addition of a compelling, complex story makes"
The Fly,1986,93,99441,David Cronenberg," When scientist Seth Brundle (Jeff Goldblum) completes his teleportation device, he decides to test its abilities on himself. Unbeknownst to...","Jeff Goldblum, Geena Davis, John Getz, Joy Boushel","David Cronenberg combines his trademark affinity for gore and horror with strongly developed characters, making"
A Nightmare on Elm Street,1984,95,98251,Wes Craven," In Wes Craven's classic slasher film, several Midwestern teenagers fall prey to Freddy Krueger (Robert Englund), a disfigured midnight mangler...","John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss",No consensus yet.
The Mummy,1932,88,94098,Karl Freund, A team of British archaeologists led by Sir Joseph Whemple (Arthur Byron) discover the mummified remains of the ancient Egyptian...,"Boris Karloff, Zita Johann, David Manners, Edward Van Sloan",No consensus yet.
The Host,2006,93,98394,Bong Joon-ho," Careless American military personnel dump chemicals into South Korea's Han River. Several years later, a creature emerges from the tainted...","Song Kang-ho, Byun Hee-bong, Park Hae-il, Bae Doo-na","As populace pleasing as it is intellectually satisfying,"
The Cat and the Canary,1927,96,97720,Paul Leni, The relatives of Cyrus West gather at his estate on the 20th anniversary of his death to hear the reading...,"Laura La Plante, Creighton Hale, Forrest Stanley, Tully Marshall",No consensus yet.
Train to Busan,2016,94,100879,Yeon Sang-ho," A man (Gong Yoo), his estranged daughter and other passengers become trapped on a speeding train during a zombie outbreak...","Gong Yoo, Ma Dong-seok, Choi Woo-sik, Kim Eui-sung",
Island of Lost Souls,1933,88,92709,Erle C. Kenton," In this adaptation of H.G. Wells' novel ""The Island of Doctor Moreau,"" Edward Parker (Richard Arlen) is shipwrecked on a...","Charles Laughton, Bela Lugosi, Richard Arlen, Leila Hyams",No consensus yet.
Revenge,2017,93,100556,Coralie Fargeat, Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced...,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouch̬de",No consensus yet.
Suspiria,1977,93,98612,Dario Argento," Suzy (Jessica Harper) travels to Germany to attend ballet school. When she arrives, late on a stormy night, no one...","Jessica Harper, Stefania Casini, Joan Bennett, Eva Ax̩n",No consensus yet.
The Ring,1998,97,98541,Hideo Nakata," When her niece is found dead along with three friends after viewing a supposedly cursed videotape, reporter Reiko Asakawa (Nanako...","Nanako Matsushima, Hiroyuki Sanada, Miki Nakatani, Yuko Takeuchi",No consensus yet.
I Walked With a Zombie,1943,85,89795,Jacques Tourneur," Canadian nurse Betsey Connell (Frances Dee) is hired to care for Jessica Holland (Christine Gordon), a woman on a Caribbean...","James Ellison, Frances Dee, Tom Conway, Edith Barrett",No consensus yet.
The Love Witch,2016,95,100416,Anna Biller," Elaine (Samantha Robinson), a beautiful young witch, is determined to find a man to love her. In her gothic Victorian...","Samantha Robinson, Gian Keys, Laura Waddell, Jeffrey Vincent Parise",No consensus yet.
Harpoon,2019,97,98955,Rob Grant," Rivalries, dark secrets, and sexual tension emerge when three friends find themselves stranded on a yacht in the middle of...","Munro Chambers, Emily Tyra, Christopher Gray",No consensus yet.
Invasion of the Body Snatchers,1978,92,98564,Philip Kaufman, This remake of the classic horror film is set in San Francisco. Matthew Bennell (Donald Sutherland) assumes that when a...,"Donald Sutherland, Brooke Adams, Leonard Nimoy, Veronica Cartwright","Employing gritty camerawork and evocative sound effects,"
The Innocents,1961,95,99447,Jack Clayton," Based on the Henry James story ""The Turn of the Screw,"" a psychological thriller about a woman who takes a...","Deborah Kerr, Martin Stephens, Pamela Franklin, Michael Redgrave",No consensus yet.
