Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
The Dry,2021,89,93318,Robert Connolly, A federal agent investigates the decades-old death of a teenage girl in his drought-stricken hometown....,Julia Blake,No consensus yet.
Undine,2020,89,95275,Christian Petzold," Christian Petzold (PHOENIX, TRANSIT) boldly reimagines the ancient myth of Undine in this suspenseful tale of romance and betrayal in...","Paula Beer, Franz Rogowski, Maryam Zaree, Jacob Matschenz",
Censor,2021,89,96433,Prano Bailey-Bond," Film censor Enid takes pride in her meticulous work, guarding unsuspecting audiences from the deleterious effects of watching the gore-filled...","Niamh Algar, Michael Smiley, Nicholas Burns, Vincent Franklin",No consensus yet.
The Stylist,2020,90,91508,Jill Gevargizian," We all dream of being someone else... but for Claire (Najarra Townsend, Contracted), that dream goes from an obsession to...","Brea Grant, Najarra Townsend, Millie Milan, Sarah McGuire","A slasher with flair and crafty patience for the kill,"
Les NÃ´tres,2020,90,91570,Jeanne Leblanc," To the tight-knit community of Sainte-Adeline, Quebec, Magalie appears as a normal suburban high school sophomore surrounded by friends. But...","Emilie Bierre, Marianne Farley, Judith Baribeau, Paul Doucet",
The Oak Room,2020,90,91633,Cody Calahan," While a drifter tries to settle an old debt with a grizzled bartender by telling him a story, the night's...","RJ Mitte, Peter Outerbridge, Ari Millen, Martin Roach",
The Queen of Black Magic,2020,90,91009,Gope T. Samtani," A family travels to the distant, rural orphanage where the father was raised to pay their respects to the facility's...","Miller Khan, Salvita Decorte, Muzakki Ramdhan, Imelda Therinne",
Beginning,2020,90,91080,Dea Kulumbegashvili, A missionary's life spirals out of control after extremists burn down a Jehovah's Witnesses church in a remote Georgian village....,"Ia Sukhitashvili, Rati Oneli, Kakha Kintsurashvili",No consensus yet.
I Blame Society,2020,90,91072,Gillian Wallace Horvat, The lines between art and real life begin to blur when an ambitious filmmaker realizes she's good at getting away...,"Gillian Wallace Horvat, Chase Williamson, Keith Poulson, Lucas Kavner",Spurts of dark humor gush out of
The Outside Story,2020,90,92135,Casimir Nozkowski," Brian Tyree Henry takes on his first big screen lead role as Charles Young, a broken-hearted video editor. Perceiving a...","Brian Tyree Henry, Sonequa Martin-Green, Sunita Mani, Olivia Edward","A refreshingly optimistic look at urban community life,"
Wild Indian,2021,90,91691,Lyle Mitchell Corbine Jr.," Decades after covering up his classmate's murder, Michael (Michael Greyeyes) has moved on from his reservation and fractured past. When...","Michael Greyeyes, Evan Assante, Kody Burns, Jesse Eisenberg",While
Moffie,2019,90,94903,Oliver Hermanus, The year is 1981 and South Africa's white minority government is embroiled in a conflict on the southern Angolan border....,"Kai Luke Brummer, Stefan Vermaak, Ryan De Villiers, Matthew Vey",No consensus yet.
The Vigil,2019,90,96022,Keith Thomas," Steeped in ancient Jewish lore and demonology, THE VIGIL is a supernatural horror film set over the course of a...","Dave Davis, Fred Melamed, Menashe Lustig, Malky Goldman","Consistently clever and creepy,"
Together Together,2021,90,98053,Nikole Beckwith," When young loner Anna is hired as the gestational surrogate for Matt, a single man in his 40s who wants...","Ed Helms, Patti Harrison, Tig Notaro, Julio Torres",No consensus yet.
The Suicide Squad,2021,90,110290,James Gunn," Welcome to hell--a.k.a. Belle Reve, the prison with the highest mortality rate in the US of A. Where the worst...","Margot Robbie, Idris Elba, John Cena, Viola Davis","Enlivened by writer-director James Gunn's singularly skewed vision,"
Promising Young Woman,2020,90,118470,Emerald Fennell," Nothing in Cassie's life is what it appears to be -- she's wickedly smart, tantalizingly cunning, and she's living a...","Carey Mulligan, Laverne Cox, Bo Burnham, Clancy Brown",No consensus yet.
True Mothers,2020,91,91704,Naomi Kawase, An adopted son's mother receives an unexpected visit from the boy's biological mother....,"Arata Iura, Hiromi Nagasaku, Aju Makita, Reo Sato",No consensus yet.
The Man Who Sold His Skin,2020,91,92810,Kaouther Ben Hania," Sam Ali, a young sensitive and impulsive Syrian, left his country for Lebanon to escape the war. To be able...","Yahya Mahayni, Monica Bellucci, Koen De Bouw, Marc De Panda",No consensus yet.
Holler,2020,91,93137,Nicole Riegel," In a forgotten pocket of Southern Ohio where American manufacturing and opportunity are dying up, a determined young woman finds...","Jessica Barden, Pamela Adlon, Gus Halper, Austin Amelio","It's hard not to hear echoes of similarly desperate stories, but"
Little Fish,2020,91,93765,Chad Hartigan," Little Fish, the fourth feature film from director Chad Hartigan, is a romance set in a near-future Seattle teetering on...","Olivia Cooke, Jack O'Connell, Soko, RaÃºl Castillo","Tough but stirring,"
Roadrunner: A Film About Anthony Bourdain,2021,91,98697,Morgan Neville," It's not where you go. It's what you leave behind.... Chef, writer, adventurer, provocateur: Anthony Bourdain lived his life unabashedly....",Anthony Bourdain,"An emotionally raw and respectful portrait of Anthony Bourdain,"
Luca,2021,91,106794,Enrico Casarosa," Set in a beautiful seaside town on the Italian Riviera, Disney and Pixar's original feature film ""Luca"" is a coming-of-age...","Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph","Slight but suffused with infectious joy, the beguiling"
A Quiet Place Part II,2021,91,111709,John Krasinski," Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they...","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe","A nerve-wracking continuation of its predecessor,"
Truman & Tennessee: An Intimate Conversation,2020,92,93081,Lisa Immordino Vreeland," The work, lives, and personal journeys of iconic American artists Truman Capote and Tennesee Williams coalesce with creative combustion in...","Zachary Quinto, Jim Parsons",No consensus yet.
Days of the Bagnold Summer,2019,92,94197,Simon Bird," Based on the critically acclaimed graphic novel, DAYS OF THE BAGNOLD SUMMER is a funny yet sweet coming-of-age story about...","Monica Dolan, Earl Cave, Rob Brydon, Elliot Speller-Gillott",
Coming Home in the Dark,2021,92,93762,James Ashcroft," A family's idyllic outing at an isolated coastline descends into terror when high school teacher Alan 'Hoaggie' Hoaganraad, his wife...","Daniel Gillies, Erik Thompson, Miriama McDowell, Matthias Luafutu","Smart, well-acted, and above all scary,"
Final Account,2020,92,93887,Luke Holland, FINAL ACCOUNT is an urgent portrait of the last living generation of everyday people to participate in Adolf Hitler's Third...,,
Mandibles,2020,92,93872,Quentin Dupieux, Two hapless losers discover a giant fly in the trunk of a stolen car and decide to domesticate it in...,"GrÃ©goire Ludig, David Marsais, AdÃ¨le Exarchopoulos, India Hair",
PG: Psycho Goreman,2020,92,95219,Steven Kostanski, Siblings Mimi and Luke unwittingly resurrect an ancient alien overlord who was entombed on Earth millions of years ago after...,"Nita-Josee Hanna, Owen Myre, Adam Brooks, Alexis Hancey",No consensus yet.
Limbo,2020,92,98398,Ben Sharrock," Recently nominated for two BAFTAÂ® awards for Best British Film and Best Debut by a British Writer, Director or Producer,...","Amir El-Masry, Vikash Bhai, Ola Orebiyi, Kwabena Ansah","A profoundly uplifting portrait of the refugee experience,"
No Sudden Move,2021,92,98931,Steven Soderbergh," Set in 1954 Detroit, NO SUDDEN MOVE centers on a group of small-time criminals who are hired to steal what...","Don Cheadle, Benicio Del Toro, David Harbour, Jon Hamm","While it may not be on par with his best crime capers,"
Saint Maud,2019,92,102553,Rose Glass," The debut film from writer-director Rose Glass, Saint Maud is a chilling and boldly original vision of faith, madness, and...","Morfydd Clark, Jennifer Ehle, Lily Frazer, Lily Knight","A brilliantly unsettling blend of body horror and psychological thriller,"
Shang-Chi and the Legend of the Ten Rings,2021,92,109480,Destin Daniel Cretton," Marvel Studios' ""Shang-Chi and The Legend of The Ten Rings"" stars Simu Liu as Shang-Chi, who must confront the past...","Simu Liu, Awkwafina, Meng'er Zhang, Fala Chen",
Raging Fire,2021,93,93560,Benny Chan," Bong (Donnie Yen) is a highly respected hardline cop with a long history of success on dangerous cases. However, his...","Donnie Yen Ji-Dan, Nicholas Tse, Lan Qin, Ray Lui",
Wildland,2020,93,93515,Jeanette Nordahl," Following a car accident, which kills her mother, 17-year-old Ida moves in with her estranged aunt and her aunt's grown...","Sandra Guldberg Kampp, Sidse Babett Knudsen, Joachim Fjelstrup, Elliott Crosset Hove",No consensus yet.
